,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(2, 0, 1, 1, 1, 2)",215039,257510,257114,256691,256240,255764,255263,254738,254189,253618,253025,252411,251776,251121
"Z(2, 0, 1, 1, 2, 0)",215039,257510,254294,251155,248089,245091,242159,239288,236477,233722,231021,228372,225773,223221
"Z(2, 0, 1, 1, 2, 1)",215039,257510,249320,241506,234040,226899,220059,213502,207209,201165,195355,189765,184384,179199
"Z(2, 0, 1, 1, 2, 2)",215039,257510,249301,241490,234045,226935,220136,213624,207379,201383,195620,190076,184738,179594
"Z(2, 0, 1, 1, 3, 0)",215039,257510,253328,249270,245329,241499,237777,234158,230637,227211,223875,220628,217465,214384
"Z(2, 0, 1, 1, 3, 1)",215039,257510,246529,236196,226452,217248,208542,200293,192468,185035,177965,171235,164822,158705
"Z(2, 0, 1, 1, 3, 2)",215039,257510,248627,240221,232252,224685,217491,210640,204110,197877,191924,186232,180786,175571
"Z(2, 1, 0, 1, 0, 0)",215039,257510,250118,242927,235937,229145,222551,216151,209942,203921,198083,192423,186937,181621
"Z(2, 1, 0, 1, 0, 1)",215039,257510,253620,249635,245600,241538,237473,233427,229412,225443,221529,217676,213890,210178
"Z(2, 1, 0, 1, 0, 2)",215039,257510,243150,229696,217086,205268,194191,183809,174076,164951,156392,148361,140823,133742
"Z(2, 1, 0, 1, 1, 0)",215039,257510,254232,250886,247484,244040,240565,237068,233558,230042,226527,223019,219522,216042
"Z(2, 1, 0, 1, 1, 1)",215039,257510,258130,258502,258651,258604,258380,258001,257482,256838,256083,255228,254284,253259
"Z(2, 1, 0, 1, 1, 2)",215039,257510,245782,234668,224134,214151,204688,195718,187215,179154,171511,164262,157386,150864
"Z(2, 1, 0, 1, 2, 0)",215039,257510,253435,249389,245378,241409,237484,233609,229786,226017,222304,218646,215046,211504
"Z(2, 1, 0, 1, 2, 1)",215039,257510,257327,256893,256245,255410,254414,253279,252025,250667,249220,247697,246108,244462
"Z(2, 1, 0, 1, 2, 2)",215039,257510,246988,236830,227047,217637,208598,199925,191614,183656,176041,168760,161802,155158
"Z(2, 1, 0, 1, 3, 0)",215039,257510,256324,255025,253629,252147,250591,248971,247295,245572,243807,242008,240179,238325
"Z(2, 1, 0, 1, 3, 1)",215039,257510,257611,257354,256803,255997,254978,253779,252428,250951,249366,247693,245946,244140
"Z(2, 1, 0, 1, 3, 2)",215039,257510,247352,237551,228119,219054,210355,202018,194036,186403,179108,172143,165496,159158
