,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 0, 1, 0, 3, 1)",15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991,15991
"Z(1, 0, 1, 0, 3, 2)",21575,21575,21575,21575,21575,21575,21575,21575,21575,21575,21575,21575,21575,21575
"Z(1, 0, 1, 1, 0, 0)",13689,13689,13689,13689,13689,13689,13689,13689,13689,13689,13689,13689,13689,13689
"Z(1, 0, 1, 1, 0, 1)",13424,13424,13424,13424,13424,13424,13424,13424,13424,13424,13424,13424,13424,13424
"Z(1, 0, 1, 1, 0, 2)",14034,14034,14034,14034,14034,14034,14034,14034,14034,14034,14034,14034,14034,14034
"Z(1, 0, 1, 1, 1, 0)",16470,16470,16470,16470,16470,16470,16470,16470,16470,16470,16470,16470,16470,16470
"Z(1, 0, 1, 1, 1, 1)",12234,12234,12234,12234,12234,12234,12234,12234,12234,12234,12234,12234,12234,12234
"Z(1, 0, 1, 1, 1, 2)",16901,16901,16901,16901,16901,16901,16901,16901,16901,16901,16901,16901,16901,16901
"Z(1, 0, 1, 1, 2, 0)",16031,16031,16031,16031,16031,16031,16031,16031,16031,16031,16031,16031,16031,16031
"Z(1, 0, 1, 1, 2, 1)",13161,13161,13161,13161,13161,13161,13161,13161,13161,13161,13161,13161,13161,13161
"Z(1, 0, 1, 1, 2, 2)",19155,19155,19155,19155,19155,19155,19155,19155,19155,19155,19155,19155,19155,19155
"Z(1, 0, 1, 1, 3, 0)",18631,18631,18631,18631,18631,18631,18631,18631,18631,18631,18631,18631,18631,18631
"Z(1, 0, 1, 1, 3, 1)",16187,16187,16187,16187,16187,16187,16187,16187,16187,16187,16187,16187,16187,16187
"Z(1, 0, 1, 1, 3, 2)",22787,22787,22787,22787,22787,22787,22787,22787,22787,22787,22787,22787,22787,22787
"Z(1, 1, 0, 1, 0, 0)",18069,18069,18069,18069,18069,18069,18069,18069,18069,18069,18069,18069,18069,18069
"Z(1, 1, 0, 1, 0, 1)",26211,26211,26211,26211,26211,26211,26211,26211,26211,26211,26211,26211,26211,26211
"Z(1, 1, 0, 1, 0, 2)",17209,17209,17209,17209,17209,17209,17209,17209,17209,17209,17209,17209,17209,17209
"Z(1, 1, 0, 1, 1, 0)",22744,22744,22744,22744,22744,22744,22744,22744,22744,22744,22744,22744,22744,22744
"Z(1, 1, 0, 1, 1, 1)",24568,24568,24568,24568,24568,24568,24568,24568,24568,24568,24568,24568,24568,24568
"Z(1, 1, 0, 1, 1, 2)",20796,20796,20796,20796,20796,20796,20796,20796,20796,20796,20796,20796,20796,20796
"Z(1, 1, 0, 1, 2, 0)",22020,22020,22020,22020,22020,22020,22020,22020,22020,22020,22020,22020,22020,22020
"Z(1, 1, 0, 1, 2, 1)",29025,29025,29025,29025,29025,29025,29025,29025,29025,29025,29025,29025,29025,29025
"Z(1, 1, 0, 1, 2, 2)",27297,27297,27297,27297,27297,27297,27297,27297,27297,27297,27297,27297,27297,27297
"Z(1, 1, 0, 1, 3, 0)",26823,26823,26823,26823,26823,26823,26823,26823,26823,26823,26823,26823,26823,26823
"Z(1, 1, 0, 1, 3, 1)",40285,40285,40285,40285,40285,40285,40285,40285,40285,40285,40285,40285,40285,40285
"Z(1, 1, 0, 1, 3, 2)",32682,32682,32682,32682,32682,32682,32682,32682,32682,32682,32682,32682,32682,32682
"Z(1, 1, 1, 0, 0, 0)",18063,18063,18063,18063,18063,18063,18063,18063,18063,18063,18063,18063,18063,18063
"Z(1, 1, 1, 0, 0, 1)",26168,26168,26168,26168,26168,26168,26168,26168,26168,26168,26168,26168,26168,26168
"Z(1, 1, 1, 0, 0, 2)",17379,17379,17379,17379,17379,17379,17379,17379,17379,17379,17379,17379,17379,17379
"Z(1, 1, 1, 0, 1, 0)",22744,22744,22744,22744,22744,22744,22744,22744,22744,22744,22744,22744,22744,22744
"Z(1, 1, 1, 0, 1, 1)",24539,24539,24539,24539,24539,24539,24539,24539,24539,24539,24539,24539,24539,24539
"Z(1, 1, 1, 0, 1, 2)",21043,21043,21043,21043,21043,21043,21043,21043,21043,21043,21043,21043,21043,21043
"Z(1, 1, 1, 0, 2, 0)",22019,22019,22019,22019,22019,22019,22019,22019,22019,22019,22019,22019,22019,22019
"Z(1, 1, 1, 0, 2, 1)",28989,28989,28989,28989,28989,28989,28989,28989,28989,28989,28989,28989,28989,28989
"Z(1, 1, 1, 0, 2, 2)",27545,27545,27545,27545,27545,27545,27545,27545,27545,27545,27545,27545,27545,27545
"Z(1, 1, 1, 0, 3, 0)",26843,26843,26843,26843,26843,26843,26843,26843,26843,26843,26843,26843,26843,26843
"Z(1, 1, 1, 0, 3, 1)",40264,40264,40264,40264,40264,40264,40264,40264,40264,40264,40264,40264,40264,40264
