,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 1, 1, 0, 1, 2)",23955,23181,22453,21767,21123,20516,19943,19398,18881,18390,17923,17476,17048,16642
"Z(1, 1, 1, 0, 2, 0)",39099,40058,40977,41854,42695,43497,44260,44983,45666,46315,46929,47507,48049,48570
"Z(1, 1, 1, 0, 2, 1)",42685,44860,46930,48883,50725,52454,54075,55586,56994,58310,59537,60676,61732,62696
"Z(1, 1, 1, 0, 2, 2)",39840,41219,42489,43649,44677,45308,45876,46381,46828,47226,47576,47880,48140,48371
"Z(1, 1, 1, 0, 3, 0)",42914,44953,46944,48882,50770,52603,54382,56103,57767,59382,60946,62458,63918,65346
"Z(1, 1, 1, 0, 3, 1)",45495,48266,50983,53637,56233,58766,61238,63643,65984,68270,70499,72669,74781,76857
"Z(1, 1, 1, 0, 3, 2)",41543,43260,44902,46475,47992,49454,50868,52230,53547,54826,56066,57268,58433,59577
"Z(1, 1, 1, 1, 0, 0)",21956,21237,20563,19930,19337,18780,18255,17759,17289,16844,16422,16020,15637,15275
"Z(1, 1, 1, 1, 0, 1)",28961,27878,26860,25903,25004,24158,23359,22601,21882,21201,20553,19934,19344,18783
"Z(1, 1, 1, 1, 0, 2)",10264,9904,9566,9248,8950,8670,8405,8155,7917,7692,7478,7274,7079,6895
"Z(1, 1, 1, 1, 1, 0)",42207,44135,45949,47647,49241,50383,51303,52156,52946,53682,54362,54986,55557,56091
"Z(1, 1, 1, 1, 1, 1)",39394,40316,41197,41974,42367,42749,43119,43472,43806,44127,44430,44714,44977,44629
