,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 2, 1, 1, 1, 2)",16787,16569,16364,16160,15968,15784,15612,15449,15294,15147,14995,14825,14660,14502
"Z(0, 2, 1, 1, 2, 0)",13792,13469,13162,12870,12595,12331,12081,11841,11612,11392,11182,10978,10782,10592
"Z(0, 2, 1, 1, 2, 1)",5050,4935,4825,4722,4624,4531,4443,4358,4278,4201,4127,4056,3987,3921
"Z(0, 2, 1, 1, 2, 2)",7020,6857,6703,6557,6420,6288,6163,6044,5930,5821,5717,5616,5519,5425
"Z(0, 2, 1, 1, 3, 0)",10129,9894,9672,9461,9263,9073,8893,8721,8558,8401,8251,8106,7967,7832
"Z(0, 2, 1, 1, 3, 1)",3608,3527,3449,3377,3308,3243,3181,3122,3067,3013,2963,2914,2867,2822
"Z(0, 2, 1, 1, 3, 2)",5255,5159,5070,4986,4908,4834,4764,4698,4636,4577,4522,4468,4417,4369
"Z(1, 0, 0, 1, 0, 0)",8304,8182,8060,7928,7810,7701,7604,7516,7438,7361,7274,7194,7122,7056
"Z(1, 0, 0, 1, 0, 1)",3184,3117,3054,2995,2940,2888,2839,2792,2749,2707,2667,2629,2593,2559
"Z(1, 0, 0, 1, 0, 2)",1524,1490,1457,1427,1398,1371,1345,1321,1298,1276,1255,1235,1215,1197
"Z(1, 0, 0, 1, 1, 0)",9409,9264,9122,8984,8857,8738,8628,8525,8430,8334,8242,8155,8072,7995
"Z(1, 0, 0, 1, 1, 1)",5339,5201,5070,4947,4831,4720,4615,4515,4420,4329,4242,4159,4079,4002
"Z(1, 0, 0, 1, 1, 2)",2024,1963,1905,1851,1800,1751,1705,1661,1620,1580,1543,1507,1472,1439
"Z(1, 0, 0, 1, 2, 0)",7628,7463,7308,7162,7027,6898,6778,6664,6558,6456,6361,6270,6183,6101
"Z(1, 0, 0, 1, 2, 1)",6728,6536,6354,6182,6019,5863,5715,5575,5440,5311,5188,5070,4956,4846
"Z(1, 0, 0, 1, 2, 2)",4162,4023,3891,3766,3649,3536,3429,3327,3230,3137,3048,2963,2881,2802
"Z(1, 0, 0, 1, 3, 0)",16315,16079,15853,15519,15195,14884,14589,14308,14040,13782,13537,13299,13070,12850
"Z(1, 0, 0, 1, 3, 1)",16917,16950,16974,16989,16770,16537,16314,16041,15751,15472,15205,14946,14695,14454
"Z(1, 0, 0, 1, 3, 2)",12887,12547,12224,11918,11627,11349,11084,10830,10588,10354,10131,9914,9705,9504
"Z(1, 0, 1, 0, 0, 0)",11194,11014,10853,10708,10580,10420,10272,10138,10018,9910,9814,9727,9614,9512
"Z(1, 0, 1, 0, 0, 1)",3620,3554,3492,3434,3380,3328,3280,3236,3193,3153,3116,3080,3046,3013
"Z(1, 0, 1, 0, 0, 2)",2088,2033,1980,1931,1884,1840,1798,1758,1720,1684,1650,1617,1585,1555
"Z(1, 0, 1, 0, 1, 0)",14739,14502,14283,14079,13893,13712,13530,13360,13202,13054,12918,12789,12653,12524
"Z(1, 0, 1, 0, 1, 1)",5877,5738,5607,5484,5368,5257,5153,5054,4960,4870,4785,4704,4625,4551
"Z(1, 0, 1, 0, 1, 2)",4869,4723,4585,4455,4331,4214,4102,3996,3894,3797,3705,3615,3530,3447
"Z(1, 0, 1, 0, 2, 0)",14108,13868,13644,13435,13242,13060,12891,12733,12585,12445,12315,12190,12060,11937
"Z(1, 0, 1, 0, 2, 1)",7358,7161,6974,6797,6630,6471,6320,6176,6039,5907,5782,5662,5546,5434
"Z(1, 0, 1, 0, 2, 2)",10913,10598,10300,10017,9748,9491,9247,9013,8789,8574,8368,8169,7977,7792
"Z(1, 0, 1, 0, 3, 0)",18125,18457,18767,19057,19332,19588,19831,20060,20277,20480,20674,20856,21025,21184
"Z(1, 0, 1, 0, 3, 1)",17342,17375,17398,17414,17425,17429,17429,17425,17418,17296,17100,16909,16709,16463
"Z(1, 0, 1, 0, 3, 2)",18765,19316,19833,20321,20785,21223,21641,22039,22420,22783,23132,23463,23778,24079
"Z(1, 0, 1, 1, 0, 0)",10657,10492,10340,10183,10037,9900,9774,9657,9549,9445,9338,9238,9144,9056
"Z(1, 0, 1, 1, 0, 1)",3161,3089,3022,2958,2898,2842,2788,2738,2690,2644,2601,2559,2519,2481
"Z(1, 0, 1, 1, 0, 2)",4460,4358,4261,4170,4084,4002,3925,3852,3783,3717,3654,3594,3536,3480
"Z(1, 0, 1, 1, 1, 0)",17036,16998,16961,16925,16892,16857,16819,16671,16475,16290,16117,15951,15788,15630
"Z(1, 0, 1, 1, 1, 1)",6267,6112,5966,5827,5696,5571,5453,5341,5234,5131,5033,4939,4849,4762
"Z(1, 0, 1, 1, 1, 2)",10858,10574,10304,10049,9808,9577,9358,9149,8949,8758,8575,8399,8229,8065
"Z(1, 0, 1, 1, 2, 0)",17808,18146,18441,18699,18929,19129,19306,19229,19053,18796,18513,18240,17978,17726
"Z(1, 0, 1, 1, 2, 1)",8362,8146,7941,7747,7563,7388,7221,7063,6911,6766,6627,6493,6364,6240
"Z(1, 0, 1, 1, 2, 2)",18188,18469,18731,18976,19207,19420,19620,19808,19660,19421,19191,18898,18529,18172
"Z(1, 0, 1, 1, 3, 0)",19185,19767,20329,20873,21403,21916,22417,22906,23384,23850,24307,24752,25185,25608
"Z(1, 0, 1, 1, 3, 1)",17646,17756,17852,17938,18017,18084,18146,18201,18250,18293,18332,18364,18390,18412
"Z(1, 0, 1, 1, 3, 2)",20207,21112,21988,22839,23671,24479,25271,26047,26807,27552,28286,29003,29705,30395
"Z(1, 1, 0, 1, 0, 0)",2843,2773,2707,2645,2588,2533,2481,2432,2386,2342,2301,2261,2223,2187
"Z(1, 1, 0, 1, 0, 1)",5732,5572,5422,5279,5144,5015,4892,4776,4664,4558,4456,4358,4263,4172
"Z(1, 1, 0, 1, 0, 2)",836,807,781,756,732,710,689,669,650,631,614,598,582,567
"Z(1, 1, 0, 1, 1, 0)",7507,7307,7119,6940,6772,6611,6458,6313,6175,6042,5916,5794,5677,5565
"Z(1, 1, 0, 1, 1, 1)",16985,17036,17087,17138,16947,16705,16476,16209,15891,15584,15291,15007,14732,14466
