,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 0, 1, 0, 1, 2)",10401,10104,9831,9578,9341,9121,8915,8721,8540,8370,8208,8054,7906,7765
"Z(1, 0, 1, 0, 2, 0)",9439,9152,8888,8642,8412,8198,7996,7807,7629,7462,7303,7151,7005,6866
"Z(1, 0, 1, 0, 2, 1)",2810,2722,2642,2567,2498,2434,2374,2318,2266,2218,2172,2129,2087,2048
"Z(1, 0, 1, 0, 2, 2)",13896,13478,13092,12734,12398,12086,11792,11517,11259,11017,10785,10564,10354,10152
"Z(1, 0, 1, 0, 3, 0)",15374,14966,14591,14244,13919,13617,13334,13068,12819,12586,12364,12151,11949,11754
"Z(1, 0, 1, 0, 3, 1)",5355,5183,5025,4879,4741,4614,4494,4382,4277,4178,4084,3994,3909,3827
"Z(1, 0, 1, 0, 3, 2)",19614,19897,20167,20424,20667,20905,21132,21353,21568,21781,21984,22180,22368,22549
"Z(1, 0, 1, 1, 0, 0)",3252,3125,3008,2899,2797,2701,2612,2527,2448,2373,2302,2234,2169,2107
"Z(1, 0, 1, 1, 0, 1)",2133,2045,1964,1888,1818,1752,1691,1633,1579,1529,1480,1435,1391,1350
"Z(1, 0, 1, 1, 0, 2)",7624,7413,7220,7041,6873,6718,6572,6435,6307,6187,6073,5963,5859,5760
"Z(1, 0, 1, 1, 1, 0)",9534,9202,8896,8610,8342,8093,7857,7636,7427,7231,7043,6864,6693,6529
"Z(1, 0, 1, 1, 1, 1)",2898,2786,2682,2586,2496,2411,2332,2258,2187,2122,2059,1999,1942,1887
"Z(1, 0, 1, 1, 1, 2)",12283,11941,11627,11335,11062,10809,10571,10348,10139,9943,9756,9578,9407,9244
"Z(1, 0, 1, 1, 2, 0)",10857,10522,10213,9925,9655,9403,9165,8942,8732,8534,8345,8164,7991,7824
"Z(1, 0, 1, 1, 2, 1)",2671,2576,2488,2406,2330,2258,2191,2128,2068,2012,1959,1908,1859,1813
"Z(1, 0, 1, 1, 2, 2)",16107,15633,15196,14791,14411,14059,13727,13416,13123,12850,12588,12338,12100,11872
"Z(1, 0, 1, 1, 3, 0)",17838,17410,17018,16655,16314,15999,15668,15358,15066,14794,14533,14284,14045,13817
"Z(1, 0, 1, 1, 3, 1)",5733,5550,5382,5225,5078,4942,4814,4693,4580,4474,4373,4277,4184,4096
"Z(1, 0, 1, 1, 3, 2)",19984,20309,20623,20925,21214,21498,21772,22040,22302,22564,22815,23059,23296,23525
